user_id,retweet_count,text
70860045,103,"RT @TheXclass: UPDATED: Things to blame
💵 FoxNews! ❌
💵 Russians! ❌
💵 White Male Rage! ❌
💵 Bad Polls! ❌
💵 Jill Stein! ❌
💵 Hillary ✔️ https:/…"
23074025,0,@hoodsonco @lynn_weiser So asking Russia to help retrieve Hillary's email isn't treason and they are obliged to help.  Gotta love karma.
213451073,0,#NEWS Obama alla convention democratica: «Nessuno più qualificato di Hillary per la pres... https://t.co/Boj3ENTYoO Buona giornata   :))
477042158,0,Obama prepares to hand off legacy to Clinton https://t.co/BpYEd5PHYe
744663001081454592,0,Getting ready to watch AGT BEATS WATCHING B.S. IN PHILLY 2NIGHT. I LOVE AGT 11TH SEASON. HILLARY WILL NOT BE AMERICAS 45TH PRESIDENT. TRUMP
633395964,0,If he didn't sell the uranium rights in North America to A Russian company the he is ahead of Hillary https://t.co/bHL1fopnRP
973537490,0,Obama prepares to hand off legacy to Clinton: President Barack Obama will tell Americans Wednesday that no on... https://t.co/8gbo1Dn1vZ
1328202476,0,Obama prepares to hand off legacy to Clinton https://t.co/grVWafpydc
119737639,21,RT @AsheSchow: Hillary didn’t earn any of her titles—she just married Bill. That doesn't make her qualified: https://t.co/LkvR34QufE
47696060,7,RT @NaYaKnoMi: if you're a person of conscience your first responsibility is not convincing bigots to vote for hillary. job one is making s…
739605765577682944,875,RT @hoodsonco: Trump is right again. Russia is obligated to help the U.S. in criminal (Hillary) matters. Signed by her husband. Lol https:/…
1360802203,1611,RT @kileyrides: if you're planning on voting for Hillary...... https://t.co/9LdtS3MiZ2
502084634,1156,"RT @DrMartyFox: The Hillary Standard 

Lying 
Stealing Votes 
Colluding With Media 
Rigging Elections 

Is A Resume Enhancement https://t.c…"
228786682,0,Obama prepares to hand off legacy to Clinton: President Barack Obama will tell Americans Wednesday that no on... https://t.co/LZEaoVqA3y
705357735550959617,58,RT @Rambobiggs: Danny Glover about to speak about how he'll never vote Hillary @RealAlexJones https://t.co/lNMyJwELQT
3642674115,26,"RT @TechCrunch: Donald Trump​ asks Russia to hack Hillary Clinton​, Facebook​ crushes its Q2 earnings and more on #CrunchReport https://t.c…"
31123307,0,Love where I work: https://t.co/aLNV0T4plw
1188380772,90,"RT @PolitiFact: Yes, Donald Trump did call climate change a Chinese hoax: https://t.co/lc0E6pwkvI #DemsInPhilly https://t.co/A2gU7GO2rw"
26832072,234,"RT @WeNeedTrump: The truth came out today about Hillary's emails, Trump trolled them into admitting they were classified. Interesting https…"
4065570080,8,"RT @yankeebrit77: Trump knows exactly what he's doing. He set a trap, and Hillary's people are walking right into it. #TrumpTreason https:/…"
3111721,0,Hillary Clinton - Business As Usual https://t.co/eEYH9drbhf
