user_id,retweet_count,text
417282833,25077,RT @BernieSanders: We have got to defeat Donald Trump and do everything we can to elect Hillary Clinton to the White house. #DemsInPhilly
758045131945697281,37863,RT @briangaar: Donald Trump is basically a YouTube comment section running for president
3314642570,1185,"RT @DanaSchwartzzz: Donald Trump has 7 positions on his website. I read all of them so you don't have to. Or go do it, it's hilarious. http…"
298179699,11,"RT @twinpaulie: Just how obligated is Donald Trump to Vladimir Putin.
Could it be that Putin is bailing out a faltering Trump Financial Boo…"
751616945968021504,0,@HillaryClinton  We need a strong person like Donald Trump to become the next President of America.
51457973,0,"""Bernie Sanders is old; he is exhausted."" Donald Trump, 70

..Bernie Sanders, 74"
25162352,12,RT @CuffsTheLegend: Donald Trump and the Golden State Warriors have something in common: They're both liars
2769270789,1360,"RT @choosebetweenit: vote for president:
rt for Troian Bellisario
like for Donald Trump https://t.co/bdZEvzmgy3"
2214054761,0,"Before the DNC hack, Russian internet trolls were being hired to pose as pro-Trump Americans https://t.co/DUWi60NaQ7"
107406730,7,RT @NewRepublic: Jimmy Carter dislikes Donald Trump even more than he dislikes Bill Clinton. https://t.co/hXn1kPlxDP
739481360721674240,28,RT @Mariotte67897: Eva Longoria Hammers Donald Trump's Anti-Immigrant Hate While Rocking DNC via @politicususa https://t.co/3K1rxbBcpS #USL…
36705193,88,"RT @THR: Elizabeth Banks Impersonates, Takes Jabs at Donald Trump at DNC https://t.co/AVgjcdejUr #DemsinPhilly https://t.co/3A818oz4I6"
32270078,36,RT @MashableNews: .@ElizabethBanks mocks Donald Trump's convention entrance #DemsInPhilly https://t.co/DtyVTVLT5H
201417733,9004,RT @Pandamoanimum: This photo of Donald Trump's mum looks like a character in a film about Trump's life where Trump plays all the roles htt…
171656520,34,RT @ksadjadpour: Donald Trump Jr: “We see a lot of money pouring in from Russia.” https://t.co/tHmLL5Te2e https://t.co/J62tXBspDk
228552843,4467,"RT @pattonoswalt: Do the ""Bernie or Bust"" people know the ""Bust"" stands for ""Donald Trump shitting out of his dick on America""? #DemsInPhil…"
483885808,6,RT @azmoderate: Cory Booker’s Response To Donald Trump Insult PROVES Democrats Are Better Than Republicans (VIDEO) https://t.co/YtccsjnyBq
223904150,1185,"RT @DanaSchwartzzz: Donald Trump has 7 positions on his website. I read all of them so you don't have to. Or go do it, it's hilarious. http…"
386615145,1741,"RT @HillaryClinton: On most campaigns, there isn't much ambiguity as to whether the candidate does or doesn't back KKK leaders. https://t.c…"
22966274,1185,"RT @DanaSchwartzzz: Donald Trump has 7 positions on his website. I read all of them so you don't have to. Or go do it, it's hilarious. http…"
2799108944,15,"RT @ComplexPop: Khloé Kardashian says she hated 'Celebrity Apprentice,' wanted to tell Trump ""F*ck you."" https://t.co/khqV07YcOU https://t.…"
2294984438,13,"RT @peterwsinger: Donald Trump now in lawsuit with ""Freedom Kids"" who performed at campaign event
https://t.co/NQZiMUckN7
https://t.co/8m6N…"
2525556600,0,Im moving to canada if an ignoramus like donald trump is elected president. I dont care for any of the candidates but ANYONE BUT TRUMP
16650009,201,RT @PolitiFact: Trump: Bernie Sanders would have received nomination if it weren't for super delegates https://t.co/LTFX0LkCoy https://t.co…
122196870,20,RT @AlcaldesMexico: ¿Quién tendría mayor peso para frenar amenazas de Donald Trump hacia latinos en su carrera por Presidencia de EU?
35865157,20,"RT @American_Bridge: Donald Trump: ""I have ZERO investments in Russia.""

But...

https://t.co/6wH2RlkEaR https://t.co/04JSh6vhLA"
1497453397,3,RT @BWA_P3SO: Donald trump and his wife lame asf
68473577,1276,"RT @DanaSchwartzzz: Hillary Clinton has detailed plans for 37 issues on her website
Donald Trump has 7 vague suggestions and 2 of them are…"
190672282,762,RT @CitizensFedUp: Charles Manson endorsed Donald Trump for President from San Quentin Prison https://t.co/j3ubFaWeZd https://t.co/FxjOcu2w…
480900509,44,"RT @ABCPolitics: .@ElizabethBanks mocks Donald Trump's ""We Are the Champions"" convention entrance https://t.co/10x0V6795C https://t.co/8Sc0…"
291898432,1276,"RT @DanaSchwartzzz: Hillary Clinton has detailed plans for 37 issues on her website
Donald Trump has 7 vague suggestions and 2 of them are…"
31192069,1185,"RT @DanaSchwartzzz: Donald Trump has 7 positions on his website. I read all of them so you don't have to. Or go do it, it's hilarious. http…"
468955330,430,"RT @PhilBryantMS: We had about 5,000 supporters show up for Donald Trump Jr. today at the Neshoba County Fair. Huge crowd. https://t.co/R4V…"
3384912719,468,"RT @maggieNYT: Trump team warns me that if I continue to ""waste our time"" on Duke q's, they will allocate ""resources"" elsewhere https://t.c…"
889672177,0,"Elizabeth Warren mocks Donald Trump’s tweeting style, as she celebrates Hillary Clinton’s nomination https://t.co/zVf1gB5Aqe"
709533009364410369,430,"RT @PhilBryantMS: We had about 5,000 supporters show up for Donald Trump Jr. today at the Neshoba County Fair. Huge crowd. https://t.co/R4V…"
2505331806,0,An open letter to my friends who support Donald Trump @huffpostblog https://t.co/6hK1JDqIpR # via @HuffPostPol
180302490,14,"RT @jeffisrael25: People who have endorsed Donald Trump so far

Putin ✔️
North Korea✔️
KKK✔️
Chinese Communist Party✔️
Neo-Nazis (various)…"
444971853,1185,"RT @DanaSchwartzzz: Donald Trump has 7 positions on his website. I read all of them so you don't have to. Or go do it, it's hilarious. http…"
750108596,380,"RT @joshtpm: .@realDonaldTrump You forgot abt this hotel you built in Soho with all the Russian money. here's the link, bro https://t.co/sp…"
3254149280,33,RT @DanaSchwartzzz: Why does Trump think invoicing Mexico for a wall is going to work? If ANYONE knows that people just refuse to pay those…
469999417,1,RT @AintShitBen: Where are you receiving this information? Donald Trump out here spreading propaganda  https://t.co/AmEXQzkzRk
745300690524790785,113,"RT @LindaSuhler: Donald Trump, Mike Pence Speak at today's VFW National Convention in Charlotte, NC!
#TrumpPence16 #Veterans #SOV
https://t…"
3338379670,526,"RT @Glam_And_Gore: Did Bernie seriously just pull his own version of ""delete your account"" to Donald Trump? Hahahah woah https://t.co/gR2Tb…"
57724061,36,"RT @latimes: Tim Kaine: ""For Donald Trump, Latinos are second-class citizens"" https://t.co/5RmdF29y7l"
298179699,93,RT @FranklinFoer: Donald Trump Jr. “We see a lot of money pouring in from Russia.” https://t.co/1EXfzgv2Z1
424397041,0,Donald Trump accidentally thanked the wrong Scott Walker on Twitter https://t.co/zJqrnCiWZo #uncategorized
203415949,0,USA TODAY exclusive: Hundreds allege Donald Trump doesn’t pay his bills https://t.co/4STP94pTXc
595127331,201,RT @BuzzFeedNews: .@ElizabethBanks spoofs Donald Trump's entrance while taking the stage at #DemsInPhilly https://t.co/p2hT5jGtZ4
885311628,3,RT @whpresscorps: RT @TPM: Obama puts thumb on scale about Trump's possible ties to Putin https://t.co/4DBWmsLkji https://t.co/gZxFdd6iKQ
4855587569,430,"RT @PhilBryantMS: We had about 5,000 supporters show up for Donald Trump Jr. today at the Neshoba County Fair. Huge crowd. https://t.co/R4V…"
